External_ID,Age,Gender,Screen_Time_Hours,Reaction_Time_ms,Memory_Score,Cognitive_Composite
U57,54,Other,8.6,222.41,81,100.0
U58,31,Male,5.6,509.8,82,37.15
U59,41,Female,3.5,417.42,81,75.64
U60,44,Male,10.6,486.32,84,45.03
U61,44,Female,3.6,348.77,91,90.55
U62,41,Male,11.3,344.46,94,69.48
U63,57,Female,11.6,415.19,91,59.68
U64,18,Male,4.2,253.58,68,90.22
U65,56,Male,5.9,200.1,80,100.0
U66,30,Male,2.2,538.84,97,65.09
U67,37,Male,4.5,326.89,52,67.17
U68,55,Female,3.4,248.59,99,100.0
U69,53,Female,8.0,576.36,80,35.02
U70,29,Other,11.0,494.38,75,37.28
U71,22,Male,1.8,254.46,78,100.0
U72,22,Male,3.0,585.6,59,25.72
U73,34,Other,9.5,215.99,70,93.77
U74,55,Male,11.1,471.42,45,25.68
U75,27,Female,9.2,394.28,83,60.83
U76,33,Female,5.7,353.15,44,47.55
U77,41,Male,8.4,262.23,62,73.11
U78,46,Female,1.3,583.79,95,69.83
U79,31,Female,9.7,368.83,84,69.48
U80,27,Male,4.4,242.94,75,100.0
U81,46,Female,9.8,232.74,43,52.43
U82,45,Female,2.7,273.26,94,100.0
U83,34,Female,2.4,498.98,70,42.24
U84,22,Male,5.2,578.18,44,1.38
U85,19,Male,2.3,485.16,83,65.61
U86,53,Male,8.7,500.8,80,32.56
U87,57,Male,4.2,595.1,76,37.04
U88,56,Female,10.9,505.87,56,30.4
U89,26,Male,8.2,331.09,70,72.66
U90,53,Female,5.9,480.46,60,37.59
U91,22,Male,3.5,232.33,61,89.75
U92,32,Female,3.5,533.61,83,34.84
U93,26,Male,4.0,466.35,84,42.51
U94,42,Male,3.6,489.74,95,67.46
U95,45,Male,10.2,327.08,99,71.77
U96,44,Male,5.3,382.96,52,58.26
U97,50,Male,5.1,466.09,51,38.11
U98,50,Male,5.1,588.46,70,49.63
U99,55,Female,1.2,513.61,97,41.54
U100,25,Female,4.9,534.34,91,36.85
U101,21,Female,2.6,208.04,80,100.0
U102,53,Female,5.6,287.66,67,88.36
U103,48,Male,9.5,349.02,51,71.88
U104,27,Female,2.8,435.32,96,76.79
U105,58,Female,7.5,380.93,95,68.06
U106,59,Male,2.1,445.83,67,57.39
U107,25,Male,10.6,273.23,47,50.98
U108,47,Male,5.9,485.36,77,64.44
U109,31,Female,10.7,298.99,69,68.1
U110,52,Female,2.4,482.4,74,56.92
U111,20,Male,8.3,448.72,76,30.06
U112,46,Female,7.0,487.13,89,50.65
U113,33,Male,11.3,555.91,68,36.1
U114,27,Female,10.1,344.9,91,68.21
U115,21,Female,8.1,514.89,88,42.8
U116,21,Male,10.9,483.02,87,59.03
U117,19,Male,9.2,357.53,87,60.99
U118,28,Female,2.1,438.16,59,69.1
U119,32,Male,11.1,337.52,48,41.12
U120,28,Female,3.4,569.01,89,47.28
U121,40,Female,3.6,340.31,73,78.64
U122,55,Female,9.1,533.51,70,48.85
U123,47,Female,2.2,440.87,93,89.44
U124,18,Female,4.2,319.02,57,66.03
U125,50,Female,1.8,521.3,47,21.14
U126,54,Female,9.8,397.58,84,72.76
U127,40,Male,7.2,373.44,98,66.98
U128,35,Female,2.2,563.64,53,28.18
U129,27,Female,9.9,207.23,42,63.25
U130,34,Female,11.0,461.97,59,41.32
U131,24,Male,6.2,209.2,46,95.95
U132,32,Other,8.8,212.51,43,93.94
U133,44,Male,8.5,477.11,86,49.15
U134,26,Female,3.2,210.53,85,94.81
U135,38,Male,5.6,469.24,58,51.19
U136,54,Male,11.5,345.86,77,66.47
U137,46,Male,2.2,390.2,82,80.73
U138,59,Male,5.1,384.69,65,62.46
U139,50,Female,2.7,575.0,98,44.84
U140,23,Male,9.7,566.59,61,21.58
U141,42,Male,2.5,428.67,66,49.86
U142,52,Female,3.7,378.25,92,81.89
U143,34,Male,5.7,570.27,69,25.88
U144,44,Female,1.8,338.37,63,77.9
U145,57,Other,3.0,357.6,56,76.58
U146,42,Female,9.5,368.18,42,45.01
U147,29,Female,7.4,580.46,74,31.78
U148,54,Male,2.4,379.11,44,61.54
U149,57,Female,3.9,279.05,46,59.58
U150,55,Male,2.7,521.68,68,30.52
U151,58,Male,4.3,543.68,62,30.2
U152,42,Female,6.1,229.35,50,70.28
U153,19,Male,7.8,345.89,99,85.13
U154,18,Female,11.9,312.11,49,46.87
U155,20,Male,10.7,479.36,75,65.86
U156,46,Male,2.6,402.68,68,46.99
U157,31,Male,10.0,466.45,81,48.82
U158,51,Male,7.8,383.9,66,65.22
U159,39,Female,7.2,540.85,55,13.3
U160,53,Female,6.4,465.62,54,27.4
U161,32,Male,5.0,536.13,72,36.46
U162,54,Male,2.6,511.64,49,38.09
U163,27,Male,7.4,502.74,66,36.09
U164,26,Female,10.7,448.98,89,50.92
U165,52,Male,8.5,453.39,51,54.2
U166,59,Male,9.4,489.37,79,43.38
U167,34,Female,1.9,522.55,40,28.36
U168,35,Male,2.9,462.88,48,51.3
U169,42,Male,9.2,280.77,93,86.99
U170,52,Male,10.4,584.2,53,10.25
U171,33,Female,6.3,448.69,67,46.85
U172,42,Male,10.0,419.46,83,59.35
U173,33,Female,4.2,290.29,64,77.7
U174,58,Male,5.3,325.64,49,74.26
U175,41,Female,1.7,426.01,92,62.13
U176,29,Female,4.1,581.58,41,21.34
U177,52,Male,1.1,447.34,57,59.31
U178,26,Female,11.7,574.72,68,23.88
U179,54,Female,1.1,346.97,77,93.92
U180,49,Male,1.3,488.47,47,28.74
U181,36,Male,6.7,434.19,40,26.73
U182,39,Female,11.7,484.44,71,32.67
U183,51,Male,2.9,395.47,78,81.26
U184,36,Male,11.1,483.53,57,32.22
U185,29,Male,4.2,424.51,80,74.89
U186,35,Female,5.9,210.36,63,82.53
U187,22,Female,4.2,551.95,56,28.61
U188,43,Male,2.6,279.7,58,76.3
U189,44,Male,11.1,452.13,42,31.03
U190,37,Female,8.7,270.09,79,77.24
U191,25,Female,8.0,342.79,63,73.25
U192,33,Female,3.3,381.51,97,68.5
U193,19,Male,8.9,366.76,61,41.9
U194,18,Male,3.3,583.08,72,45.25
U195,22,Male,8.8,411.26,97,73.08
U196,48,Male,1.2,258.61,56,69.66
U197,40,Female,3.8,347.42,64,73.94
U198,38,Other,3.3,274.2,60,82.27
U199,29,Female,8.1,276.83,75,96.07
U200,21,Female,7.4,506.36,53,33.83
U201,54,Female,3.6,251.88,97,100.0
U202,28,Female,4.3,481.2,58,27.57
U203,59,Female,3.0,367.85,57,43.49
U204,57,Male,9.9,401.63,65,43.79
U205,26,Male,9.7,520.59,43,21.17
U206,43,Female,10.6,200.82,83,85.79
U207,56,Male,8.2,381.23,44,62.22
U208,44,Female,10.6,321.0,83,52.24
U209,46,Male,6.2,456.43,93,62.97
U210,42,Female,2.2,534.94,60,29.2
U211,35,Male,10.1,345.39,60,65.6
U212,47,Female,10.8,366.97,81,62.72
U213,25,Female,9.3,560.0,74,10.04
U214,19,Male,5.6,518.14,44,17.26
U215,39,Female,11.3,515.39,98,46.91
U216,38,Other,4.7,205.33,74,93.51
U217,56,Female,6.9,597.98,87,27.67
U218,43,Male,2.1,451.85,75,64.92
U219,46,Male,5.8,519.42,92,49.07
U220,22,Female,10.5,270.36,42,74.05
U221,31,Female,2.1,571.9,73,42.25
U222,52,Female,10.8,474.99,43,23.89
U223,23,Female,11.6,229.91,80,96.84
U224,40,Male,7.8,276.64,41,58.65
U225,34,Female,11.0,490.52,70,37.39
U226,41,Female,1.3,485.88,55,37.95
U227,57,Female,2.3,540.08,76,44.62
U228,46,Female,2.8,293.94,53,79.01
U229,47,Male,3.2,481.04,58,23.69
U230,41,Female,3.9,542.45,42,23.84
U231,52,Female,8.1,286.74,96,100.0
U232,54,Female,5.4,438.2,49,46.11
U233,19,Male,11.1,415.47,53,32.34
U234,38,Male,8.5,546.38,68,29.09
U235,57,Male,4.8,280.15,64,89.55
U236,58,Female,3.3,356.53,52,71.99
U237,22,Male,7.7,285.89,45,67.78
U238,52,Male,3.7,414.41,74,57.28
U239,52,Female,8.6,426.9,40,46.59
U240,36,Male,7.1,290.3,70,62.89
U241,33,Male,5.1,336.73,78,74.95
U242,42,Male,1.0,253.23,58,89.96
U243,33,Male,11.5,495.29,43,34.34
U244,48,Female,9.3,504.05,93,43.96
U245,50,Female,10.5,228.1,66,78.51
U246,34,Male,11.4,227.43,43,61.78
U247,38,Female,6.9,571.69,67,21.31
U248,52,Male,6.3,454.29,66,44.86
U249,40,Female,8.7,479.97,82,49.9
U250,33,Female,8.8,210.56,92,100.0
U251,55,Male,1.3,382.36,84,79.74
U252,31,Female,11.0,565.35,83,45.71
U253,57,Male,11.2,251.11,54,80.07
U254,58,Male,3.4,542.67,46,28.62
U255,50,Male,10.4,208.78,80,100.0
U256,38,Male,12.0,238.25,52,59.69
U257,34,Male,3.6,349.61,77,94.07
U258,21,Male,7.4,200.91,92,100.0
U259,33,Female,7.5,320.24,81,71.62
U260,47,Male,1.7,416.94,80,71.9
U261,51,Male,6.9,545.41,90,24.47
U262,39,Male,3.1,489.9,50,58.36
U263,59,Male,12.0,537.05,53,24.01
U264,46,Male,4.2,335.81,54,55.67
U265,22,Female,11.6,532.03,40,5.33
U266,18,Male,1.4,331.38,53,64.73
U267,57,Female,1.7,265.92,97,93.17
U268,42,Male,5.9,309.72,92,98.11
U269,23,Female,5.1,251.74,49,61.73
U270,40,Female,12.0,397.21,76,56.7
U271,50,Male,2.4,308.8,63,86.05
U272,31,Male,8.0,397.83,82,57.18
U273,59,Male,10.0,512.46,40,28.91
U274,53,Male,1.3,578.49,58,28.77
U275,35,Male,1.0,463.95,88,54.04
U276,57,Female,3.8,483.77,78,44.73
U277,27,Female,9.3,249.53,51,62.82
U278,56,Male,11.5,366.39,69,67.53
U279,29,Female,4.1,415.41,45,59.12
U280,55,Female,8.5,414.68,57,37.7
U281,40,Female,11.9,229.55,84,86.25
U282,24,Male,3.2,395.04,87,86.7
U283,42,Male,1.8,435.79,98,75.11
U284,30,Male,7.3,216.59,68,84.95
U285,55,Female,10.7,458.65,49,22.37
U286,36,Female,9.1,497.25,87,53.68
U287,39,Male,1.9,567.65,43,17.0
U288,58,Male,11.7,290.16,59,73.35
U289,28,Female,1.6,550.82,43,22.92
U290,59,Male,3.6,571.33,69,49.48
U291,20,Male,11.1,336.45,99,93.04
U292,36,Female,9.8,534.97,65,26.18
U293,44,Male,5.6,315.72,60,69.18
U294,24,Female,8.6,433.45,88,63.02
U295,54,Male,6.1,204.92,57,88.76
U296,44,Female,9.4,348.38,80,70.46
U297,51,Female,6.7,448.37,71,52.08
U298,28,Female,9.8,550.3,66,16.3
U299,55,Male,11.1,308.32,42,57.3
U300,22,Male,10.1,552.64,95,35.64
U301,24,Male,9.1,559.16,92,61.34
U302,53,Female,6.6,201.25,87,98.76
U303,22,Female,2.0,417.64,98,78.13
U304,22,Male,11.1,345.68,47,59.78
U305,44,Female,6.6,420.76,47,57.85
U306,46,Male,10.1,299.75,74,77.03
U307,44,Male,1.2,265.0,48,60.39
U308,49,Female,5.9,234.06,85,100.0
U309,42,Male,11.7,439.11,87,54.78
U310,59,Female,9.7,596.32,98,43.96
U311,51,Female,3.1,212.16,63,96.21
U312,32,Female,1.7,505.56,58,38.75
U313,58,Male,6.7,471.46,89,67.39
U314,51,Male,7.3,571.48,65,30.82
U315,52,Male,3.9,495.87,47,24.82
U316,37,Female,10.8,341.6,53,49.17
U317,41,Female,1.0,569.73,84,37.15
U318,51,Female,11.8,222.54,75,76.35
U319,51,Male,11.2,466.57,54,23.42
U320,44,Female,6.0,331.8,63,65.54
U321,38,Male,4.1,417.83,97,81.01
U322,50,Female,6.5,206.15,40,82.53
U323,56,Female,1.9,387.41,90,83.88
U324,57,Female,2.8,416.62,49,57.78
U325,53,Female,9.1,360.18,95,78.78
U326,42,Female,4.7,367.39,60,54.44
U327,24,Female,11.6,408.05,71,53.25
U328,27,Female,2.0,580.63,99,39.93
U329,27,Female,2.6,312.17,56,79.59
U330,55,Male,3.2,495.74,60,48.52
U331,41,Male,5.8,316.23,99,87.63
U332,27,Female,9.0,322.6,75,79.87
U333,43,Female,11.6,567.55,51,19.31
U334,47,Male,1.7,597.39,73,34.47
U335,44,Male,10.1,520.03,55,22.18
U336,36,Male,9.0,409.61,83,57.35
U337,18,Male,8.1,516.19,72,33.38
U338,50,Female,9.3,267.64,96,100.0
U339,28,Female,2.3,330.22,95,100.0
U340,51,Male,11.9,470.39,71,35.69
U341,55,Male,6.6,461.28,74,72.8
U342,33,Male,9.4,425.93,42,41.65
U343,18,Female,7.8,273.08,67,75.43
U344,58,Female,5.9,415.65,43,45.26
U345,45,Male,7.7,433.54,73,58.43
U346,32,Female,8.8,233.18,52,61.92
U347,33,Male,6.5,337.09,90,84.15
U348,49,Male,5.0,297.76,49,67.59
U349,56,Female,7.8,514.73,79,50.03
U350,18,Female,3.0,588.83,96,36.14
U351,26,Male,9.5,276.25,99,92.69
U352,46,Female,6.0,221.69,71,87.03
U353,42,Male,1.9,421.28,76,75.28
U354,28,Male,2.6,223.88,72,98.79
U355,59,Male,2.0,312.23,87,96.4
U356,28,Female,6.9,364.11,58,33.38
U357,23,Female,1.9,311.61,66,81.11
U358,51,Male,3.8,234.62,82,100.0
U359,31,Male,9.1,364.44,85,79.69
U360,25,Female,10.9,274.0,62,55.26
U361,42,Female,8.4,258.05,55,72.19
U362,21,Male,1.9,353.2,75,63.78
U363,48,Female,11.2,247.57,43,75.24
U364,38,Female,12.0,337.07,96,94.02
U365,49,Male,7.1,296.56,71,91.2
U366,31,Male,1.9,485.76,86,57.05
U367,45,Female,8.0,412.22,52,55.44
U368,42,Male,7.0,287.07,94,92.78
U369,45,Female,2.9,504.81,64,58.56
U370,32,Male,9.6,214.65,99,100.0
U371,39,Female,10.1,391.62,63,48.6
U372,23,Male,8.9,377.12,63,60.04
U373,19,Female,7.4,584.71,49,0.0
U374,23,Female,11.9,228.19,88,88.94
U375,40,Male,4.3,442.58,60,29.11
U376,43,Female,3.2,246.56,67,86.21
U377,28,Male,6.1,292.63,54,64.2
U378,18,Male,5.7,243.23,64,76.15
U379,45,Female,10.1,577.57,97,29.37
U380,39,Female,11.6,526.36,52,25.05
U381,58,Male,9.8,216.03,58,77.84
U382,30,Male,9.7,544.44,99,33.01
U383,58,Male,6.6,308.26,57,60.24
U384,53,Male,9.1,280.15,79,74.02
U385,39,Male,8.8,296.91,56,59.35
U386,21,Female,3.7,582.01,72,35.85
U387,58,Male,7.3,501.12,49,19.31
U388,35,Male,6.8,245.0,72,84.71
U389,55,Female,11.4,496.13,70,24.63
U390,34,Female,3.9,219.04,82,91.96
U391,42,Female,10.9,316.48,68,73.72
U392,34,Female,11.1,508.23,97,34.85
U393,46,Female,7.8,491.84,42,32.49
U394,25,Male,9.7,481.58,45,38.03
U395,46,Male,9.4,568.66,78,10.76
U396,32,Female,8.4,424.21,41,39.18
U397,58,Female,4.6,416.57,97,69.29
U398,50,Female,5.1,445.1,45,61.87
U399,27,Female,6.9,591.84,83,33.15
U400,54,Female,10.9,551.22,78,23.42
U401,28,Female,5.8,588.91,83,43.67
U402,52,Female,2.0,232.34,70,96.14
U403,51,Male,2.2,400.36,79,66.71
U404,49,Female,3.9,444.94,78,68.69
U405,39,Female,6.3,432.15,81,65.59
U406,21,Female,10.6,216.99,66,90.1
U407,19,Male,9.6,389.89,96,69.36
U408,50,Female,2.3,292.03,58,63.48
U409,26,Male,2.0,247.0,42,85.29
U410,52,Male,9.8,595.48,84,30.67
U411,55,Female,11.5,404.46,91,66.38
U412,48,Male,1.2,518.38,43,37.18
U413,31,Male,10.1,281.21,56,58.6
U414,48,Female,9.9,435.43,41,42.14
U415,50,Female,10.2,408.98,70,63.38
U416,33,Male,1.5,489.49,85,40.25
U417,37,Male,1.0,576.23,56,28.06
U418,31,Female,4.5,576.67,89,50.44
U419,52,Female,6.6,208.14,64,82.43
U420,50,Female,3.9,217.55,45,65.21
U421,46,Female,6.3,482.82,65,51.22
U422,25,Female,10.6,472.65,97,49.24
U423,51,Female,9.1,208.64,96,100.0
U424,31,Female,8.6,595.02,45,8.65
U425,31,Female,11.3,565.71,44,25.08
U426,32,Female,9.1,241.93,56,95.33
U427,59,Female,6.7,333.83,81,70.91
U428,37,Female,8.8,248.62,80,90.78
U429,45,Male,8.5,506.84,68,30.08
U430,21,Female,6.3,233.1,75,76.22
U431,24,Male,6.2,215.84,88,100.0
U432,19,Female,7.9,265.58,98,99.35
U433,26,Male,9.0,291.45,92,61.97
U434,40,Female,9.1,345.04,95,88.14
U435,53,Female,11.7,504.4,47,9.74
U436,29,Female,5.6,462.42,79,47.57
U437,40,Male,1.0,420.31,99,75.43
U438,48,Male,10.5,329.28,43,59.11
U439,59,Male,5.8,420.24,43,48.46
U440,28,Female,4.4,584.98,95,50.26
U441,18,Male,5.7,354.57,69,50.92
U442,30,Male,3.4,323.35,80,74.17
U443,56,Male,11.0,365.54,45,47.36
U444,46,Female,8.7,544.09,86,44.19
U445,23,Male,3.6,336.95,73,74.68
U446,48,Female,10.0,483.78,89,45.01
U447,26,Female,9.3,212.37,77,91.79
U448,35,Female,11.5,466.4,57,44.16
U449,20,Male,9.8,299.84,44,61.57
U450,49,Male,8.9,587.59,87,42.02
U451,20,Male,7.9,301.97,93,88.7
U452,47,Female,8.0,525.95,85,53.22
U453,23,Male,10.6,248.02,58,62.2
U454,44,Male,7.6,351.53,76,54.31
U455,19,Female,3.8,387.94,43,47.1
U456,37,Male,11.2,445.06,76,33.34
U457,34,Female,11.4,409.75,62,42.49
U458,50,Male,5.2,220.48,47,76.91
U459,34,Female,7.0,419.98,92,70.82
U460,54,Female,10.0,366.16,71,65.25
U461,46,Male,5.1,413.05,88,64.27
U462,26,Male,2.7,221.43,91,100.0
U463,21,Female,8.5,249.99,63,74.54
U464,57,Male,4.0,434.64,65,49.52
U465,30,Female,7.3,515.86,88,42.63
U466,23,Male,8.8,547.32,47,21.22
U467,26,Female,11.4,490.92,69,32.0
U468,43,Male,11.3,515.69,43,32.76
U469,56,Male,7.9,229.05,51,75.73
U470,58,Female,10.3,473.26,63,29.19
U471,59,Female,10.9,452.61,75,31.55
U472,31,Female,3.9,549.47,95,56.33
U473,51,Male,11.0,406.13,86,65.61
U474,21,Male,5.0,550.29,68,26.41
U475,38,Male,7.4,477.2,84,48.45
U476,48,Male,10.2,568.08,68,19.46
U477,38,Male,1.6,397.2,47,43.26
U478,46,Male,8.1,341.82,52,45.92
U479,41,Female,9.3,579.24,70,32.97
U480,33,Male,9.5,266.56,76,90.68
U481,26,Female,6.5,358.61,66,54.78
U482,38,Male,6.9,478.12,74,32.92
U483,19,Male,8.6,481.07,83,36.9
U484,19,Female,7.5,206.37,67,100.0
U485,54,Female,7.1,409.41,67,43.58
U486,54,Female,2.0,263.64,81,88.5
U487,22,Male,7.7,380.64,91,62.61
U488,23,Female,6.0,533.48,43,10.77
U489,25,Male,8.1,215.07,72,72.74
U490,49,Female,11.1,532.87,82,30.66
U491,54,Male,7.3,534.24,51,30.41
U492,30,Male,9.4,224.91,53,87.98
U493,20,Male,10.1,504.4,83,49.26
U494,26,Female,6.2,562.67,91,53.98
U495,21,Female,7.0,392.63,90,86.64
U496,45,Male,10.1,206.94,91,89.9
U497,57,Male,3.1,585.01,79,39.81
U498,33,Female,7.0,261.5,41,43.66
U499,28,Male,4.2,372.08,74,64.85
U500,36,Female,6.7,298.03,99,91.9
U501,59,Male,6.3,323.61,52,64.13
U502,39,Male,9.9,227.51,61,75.33
U503,56,Male,6.6,488.04,97,64.5
U504,29,Female,1.5,524.23,44,46.28
U505,47,Male,2.4,553.79,50,42.68
U506,57,Male,8.2,313.57,56,63.32
U507,59,Male,6.5,296.09,67,58.98
U508,22,Male,8.5,405.85,96,77.05
U509,54,Female,2.0,403.7,68,68.22
U510,49,Male,1.6,514.85,76,34.23
U511,51,Female,8.4,272.83,66,66.71
U512,29,Male,10.9,570.75,50,22.36
U513,19,Female,7.1,375.17,85,66.82
U514,24,Male,7.9,247.0,86,91.54
U515,49,Male,9.1,475.92,66,51.15
U516,57,Male,11.5,296.85,58,72.26
U517,52,Male,11.6,432.54,73,56.87
U518,23,Female,10.5,251.64,66,65.95
U519,39,Female,10.2,536.17,61,23.4
U520,42,Male,7.1,215.02,98,91.79
U521,30,Female,10.2,318.54,86,83.01
U522,40,Male,10.6,374.56,85,44.99
U523,26,Male,9.5,451.96,93,58.22
U524,59,Female,9.1,401.01,65,46.2
U525,54,Male,9.5,344.05,97,70.61
U526,54,Male,11.1,313.86,66,57.62
U527,47,Female,5.7,499.87,96,75.2
U528,37,Female,1.8,429.36,47,51.56
U529,55,Male,1.4,243.21,98,100.0
U530,33,Female,6.4,242.16,64,64.58
U531,39,Other,11.8,447.78,85,63.23
U532,55,Male,4.4,462.2,82,66.69
U533,27,Male,9.2,538.04,66,34.99
U534,37,Female,8.2,458.95,84,59.97
U535,58,Female,4.2,580.88,59,22.09
U536,19,Male,2.1,516.12,90,39.15
U537,20,Male,9.6,581.91,44,13.54
U538,59,Female,8.0,519.5,47,14.32
U539,25,Female,8.0,556.62,76,40.05
U540,26,Male,4.7,319.72,64,75.08
U541,45,Male,11.6,489.89,65,29.17
U542,38,Female,11.2,325.73,95,58.95
U543,50,Female,11.9,540.2,84,31.44
U544,51,Female,11.7,290.24,79,66.92
U545,21,Male,11.4,551.99,43,21.94
U546,42,Female,8.1,247.55,49,87.03
U547,49,Male,2.4,261.51,65,89.07
U548,29,Female,2.0,473.27,92,56.9
U549,19,Male,7.0,316.17,67,77.23
U550,29,Male,8.6,557.3,58,30.1
U551,43,Female,2.0,395.28,77,75.62
U552,38,Female,2.1,323.6,55,54.78
U553,54,Female,7.4,241.62,55,83.59
U554,53,Male,9.2,298.45,68,60.56
U555,35,Female,3.7,392.54,99,65.85
U556,41,Other,11.1,397.88,80,76.26
U557,47,Male,5.7,242.49,82,93.48
U558,34,Female,2.6,523.06,96,67.74
U559,33,Female,10.9,348.67,69,60.24
U560,59,Male,10.5,202.89,72,94.38
U561,34,Male,10.7,266.08,76,79.68
U562,29,Male,6.5,532.87,70,45.0
U563,44,Female,3.0,554.94,48,12.57
U564,21,Male,10.7,230.65,57,74.71
U565,52,Female,7.0,322.41,85,75.5
U566,18,Female,5.6,482.16,60,37.34
U567,29,Female,4.3,406.42,72,48.45
U568,46,Male,7.0,431.58,80,62.09
U569,25,Male,6.1,337.15,92,79.2
U570,25,Male,3.8,539.99,83,56.42
U571,29,Male,4.8,362.08,74,80.77
U572,53,Male,9.0,563.36,45,0.0
U573,51,Female,6.9,462.24,75,51.91
U574,53,Female,9.5,330.46,40,30.05
U575,21,Female,8.5,270.72,65,75.85
U576,28,Male,2.3,334.62,97,92.2
U577,20,Male,7.8,411.41,80,70.59
U578,27,Female,7.6,236.44,44,66.81
U579,29,Female,5.0,274.28,58,60.53
U580,26,Male,3.9,460.52,76,50.94
U581,38,Male,8.8,221.77,49,86.3
U582,51,Male,8.7,496.13,70,30.94
U583,39,Male,9.8,499.28,40,14.95
U584,35,Female,9.0,225.09,79,95.9
U585,23,Other,10.3,253.62,69,58.78
U586,42,Male,11.9,266.12,64,72.14
U587,32,Female,6.3,445.06,66,36.73
U588,18,Male,10.9,285.88,71,51.12
U589,57,Female,11.2,511.6,64,35.69
U590,35,Male,3.4,258.65,95,94.23
U591,48,Female,6.0,529.23,93,62.04
U592,37,Female,5.6,262.99,88,94.91
U593,42,Female,7.1,403.6,67,54.6
U594,50,Female,11.0,217.02,59,77.05
U595,27,Female,9.6,396.81,60,57.64
U596,46,Female,10.4,467.43,75,45.43
U597,36,Male,7.6,276.04,79,77.93
U598,45,Female,1.2,262.62,71,83.13
U599,44,Male,1.8,274.9,67,79.28
U600,36,Female,1.7,268.2,75,95.07
U601,48,Female,5.5,409.81,41,25.51
U602,52,Male,5.7,573.29,50,15.54
U603,31,Male,6.6,393.77,96,69.39
U604,23,Male,6.3,510.93,82,34.93
U605,26,Male,2.9,577.68,65,35.71
U606,58,Female,2.1,364.3,64,77.57
U607,44,Male,11.1,364.0,55,46.94
U608,34,Male,1.5,296.09,73,76.84
U609,53,Female,4.5,328.28,59,69.44
U610,21,Female,2.3,428.91,55,41.16
U611,41,Male,2.5,399.25,53,73.59
U612,33,Male,3.4,328.05,95,66.72
U613,34,Female,6.0,256.9,46,68.86
U614,20,Female,5.8,278.03,51,57.0
U615,56,Female,2.7,396.37,99,81.57
U616,54,Male,10.6,207.71,42,72.68
U617,20,Male,11.4,463.65,46,28.33
U618,58,Female,6.0,240.59,47,72.86
U619,52,Male,4.6,563.39,59,41.06
U620,20,Female,11.9,321.22,75,75.53
U621,33,Male,11.1,204.66,70,100.0
U622,37,Female,5.2,476.35,68,51.17
U623,23,Female,3.8,487.53,56,55.24
U624,50,Male,2.1,381.75,50,65.06
U625,44,Male,10.7,349.64,87,66.42
U626,47,Male,7.1,270.75,90,89.07
U627,52,Female,6.3,528.68,54,29.16
U628,35,Male,1.2,496.32,78,81.54
U629,47,Female,6.1,264.2,70,79.18
U630,43,Male,4.5,372.1,69,74.93
U631,32,Female,10.1,290.97,46,53.87
